Collection Title,Skill Tags,Field 6
(ISC)2 CISSP 2018,,
(ISC)2 Security CISSP,,
(ISC)2 Security CISSP 2015,"Security, CIA, Risk Management, Policies, White Hat, Hacking, Cryptography, Security, Physical Security, OSI Model, Firewalls, VPN, Attack Types, Threats, Authentication, Security, Physical Security, OSI Model, Firewalls, VPN, Attack Types, Threats, Authentication, Virtualization, Federation Services, Security, Security Architecture, IDS, IPS, Backup, Recovery, Malware, Incident Response",
(ISC)2 Security SSCP,,
(ISC)2 SSCP Certification,,
(iSC)2 SSCP updated,,
**Do Not Publish- White Hat Updates**,,
4.4 CompTIA Network+ (N10-007): Network Security,,
2005 A+ Series,,
2005 Network+ Series,,
2006 Server+ Series,,
A+ 2003 Update,,
A+ Series (includes 2003 Update),,
ACA: Mac Integration Basics 10.11,,
Administering Microsoft SCCM and Cloud Services (70-703),,
Administering User Security,"User Security, 12c",
ADMT,,
Adobe InDesign,,
Advanced NSX Services,NSX,
Advanced Virtual Networking with Azure,"Virtual Networking, Azure, Remote Connectivity, Site-to-site, VPN, Virtual Networking, Azure, Load Balancing, Network Load Balancing (NLB), Gateways, Traffic Manager, Network Connectivity, Network Troubleshooting",
Agile Certified Practitioner,,
Agile Development and Project Management,,
Agile Essentials,,
Agile for the Real World,,
and Compute (70-740),,
and Federations,,
Android App Development with Java,"Android, App Development, Java, Forms, UI, Data Storage",
AngularJS,"Angular JS, JavaScript, Data Binding, Controllers, Expressions, Filters, Directives, Angular JS, JavaScript, AJAX, Authentication",
Ansible Essentials,"Ansible, Automation, File Management, Playbooks, Conditionals, Loops, Functions",
Apache Hadoop,"Hadoop, Database, Apache",
Application Services with Azure,"Application Services, Application Deployment, Azure",
Audition Videos,,
AWS Certified Cloud Practitioner,"Security, Cloud Security, Cloud Concepts, Cloud Concepts, AWS Billing and Pricing, AWS Services",
AWS Certified Solutions Architect - Associate,"Storage, Cloud Storage, Storage Solutions, Cloud Infrastructure, Compute Services, Network Services, Security Services, Security, Database, RDS, DMS, Application Services, SQS, SNS, SWF",
AWS Certified SysOps Administrator - Associate,"High Availability, Deployment and Provisioning, Deployment, Automation, Elasticity, ELB, Security, IAM, Data Integrity, Access Control, VPC, Data Management, Data Analysis, AWS Billing and Pricing, RDS, Backup, Recovery",
AWS Security: Access Management,"Access Management, Security, User Management, Security Policies, IAM, Identity Policies, Policies & Profiles, Federation Services, SSO, Active Directory, API, Endpoint Security, CloudTrail, Logging",
AWS Security: Compliance and Governance,,
AWS Security: Data Security,,
AWS Security: Detective & Reactive Controls,Reactive Controls,
AWS Security: Protective Controls,"Protective Controls, Security Group Rules, Protective Controls, Public Web Server, Protective Controls, Private Database, Protective Controls, Network Management , Protective Controls, Network Traffic, Transit Gateway, Protective Controls, Traffic Filtering, Protective Controls, DoS/DDoS, AWS Shield, Protective Controls",
AWS Solutions Architect - Application Services,,
AWS Solutions Architect - Compute Services,,
AWS Solutions Architect - Database Services,,
AWS Solutions Architect - Networking Services,,
AWS Solutions Architect - Security Services,,
AWS Solutions Architect - Storage Services,,
AWS Technical Essentials,"Cloud Infrastructure, EC2, Storage, Cloud Storage, S3, Buckets, EBS, VPC, Shared Responsibility Model, ACLs, IAM, RDS, NoSQL, DynamoDB",
AWS: Certified Solutions Architect - Associate,", Elasticity, Cloud Concepts, Bootstrap, Cloud Storage, Cloud Concepts, Storage Solutions, Storage, Cloud Security, Cloud Concepts, Security, IAM, VPC, Shared Security, Database, Cloud Concepts, Cloud Technology, AWS Billing and Pricing, High Availability, Cloud Migration",
AWS: Certified SysOps Administrator - Associate Level,,
AWS: Core Real-World Functions,,
AWS: Essentials,,
Azure Pricing and Support,"Azure, Azure Pricing and Support",
Azure SQL Essentials,"Azure, SQL, Cloud Migration, Active Directory, Database, Data Flows, Data Models",
Backup and Recovery Concepts,"Backup, Recovery, 12c",
Basic Cisco UCS Troubleshooting,"UCS, B Series, Troubleshooting, LAN, SAN, SPAN, UCS, Troubleshooting, LAN, SAN, C Series",
Basic Cisco Unified Fabric Troubleshooting,"Troubleshooting, Fabric, DCNM, FabricPath, Fibre Channel, VSAN, FCoE, Nexus, VLAN",
Being Agile Using Team Foundation Server,,
Being Agile with JIRA,,
Bitcoin Basics,,
Border Gateway Protocol (BGP): Advanced Topics,"BGP, ORF, BFD, PIC",
Border Gateway Protocol (BGP): Advertising NLRI,"NLRI, BGP",
Border Gateway Protocol (BGP): Basic Operations,BGP,
Border Gateway Protocol (BGP): Cisco Routing Policy Mechanisms,,
Border Gateway Protocol (BGP): Peerings,BGP,
Border Gateway Protocol (BGP): Scalability Mechanisms,"BGP, Scalability, Confederations",
CAPM® Certification Training Course,,
CCIE Lab Concepts,,
CCNA Lab,,
CCNA Service Provider,,
CCNA TEMP,,
CCNA Upgrade,,
CCNP Collaboration CIPTV1: Dial Plan Components,,
CentOS System Administrator Prep,"CentOS, Linux, Linux OS, CentOS, Linux, Linux OS, Access Control, ACLs",
Certified Associate in Project Management (CAPM)®,,
Certified Ethical Hacker Training Course,,
Check Point CCMSE NGX: Certified Managed Security Expert,,
Check Point CCSA  NGX R65,,
Check Point CCSA GAiA 156-215.76,"GAiA, Firewalls, Network Address Translation (NAT), URL Filtering, IPsec, VPN",
Check Point CCSA R65 / R70,,
Check Point CCSA R80,"Security, Configuration, Gateways, Security, Security Policies, Network Address Translation (NAT), Firewalls, VPN, CLI",
Check Point CCSA R80: 1.0 Initial Installation and Configuration,,
Check Point CCSA R80: 2.0 Security Policies,,
Check Point CCSA R80: 3.0 Network Address Translation,,
Check Point CCSA R80: 4.0 Advanced Firewall Features,,
Check Point CCSA R80: 5.0 VPNs,,
Check Point CCSA R80: 6.0 Command Line Interface,,
Check Point CCSE NGX II R65,,
Check Point Security CCSE R70 156-315.70,,
Check Point Security R71/75 CCMSE 156-815.71,,
Chef Fundamentals,"Chef, Chef Server, Chef Repo, Chef, Recipes, Roles, Vagrant, Cookbooks",
Chef: Extending Chef,,
Chef: Methodology,"Chef, Methodology",
Chef: Setting Up the Chef Environment,Chef,
Chef: Using Chef,"Chef, Chef Server, Chef Repo, Cookbooks, Roles, Conditionals, Data Bags",
CHISP,,
Cisco 640-863: CCDA DESIGN update videos,,
Cisco 642-812: CCNP BCMSN,,
Cisco 642-871: CCDP ARCH,,
Cisco 642-901: CCNP BSCI,,
Cisco CCDA Design 200-310 DESGN,"Network Architecture, Network Design, Network Architecture, Network Design, Network Security, IP Addressing, Routing Protocols",
Cisco CCDA Design 640-864 DESGN,"Network Management , Network Design, Data Center",
Cisco CCDP ARCH 642-873,,
Cisco CCDP Design 300-320 ARCH,"Network Architecture, Campus Networks, Routing, Enterprise Network Architecture, ECN, EIGRP, OSPF, BGP, Routing Protocols, IS-IS, IPv6, Subnetting, Campus Networks, High Availability, Spanning Tree, EtherChannels, Routing, FHRP, Telephony, IPv4, IPv6, WAN, Fiber Optics, Ethernet, VLAN, VPLS, MPLS, Service Provider, Data Center, STP, High Availability, SAN, Protocols, E-commerce, Security, Firewalls, IPS, Multicast, Network Management , SLA, IP SLA, Netflow, WAN, VPN, Remote Access, Site-to-site, Data Center, EtherChannels, FabricPath, Software Defined Networking (SDN), Campus Networks, Network Architecture, Enterprise Network Architecture, QoS, Data Center",
Cisco CCENT ICND1 640-822,"Network Fundamentals, TCP/IP, Network Fundamentals, TCP, LAN, LAN Switching, Network Fundamentals, Wireless, Network Fundamentals, TCP/IP, TCP, Subnetting, Network Fundamentals, Routing, Routing Fundamentals, Security, Network Management , ",
Cisco CCENT/CCNA 100-101 ICND1 v2.0,", OSI Model, IP Addressing, TCP, TCP/IP, UDP, Switching, VLAN, VTP, Port Security, Routing, VLAN, Subnetting, VLSM, Static Routing, OSPF, Access Control, Network Address Translation (NAT), IPv6",
Cisco CCENT/CCNA 100-105 ICND1,", Switching, Routing, Wireless Access Points, Firewalls, IPS, Cabling, IP Addressing, Protocols, TCP, TCP/IP, Three-Tier Architecture, OSI Model, TCP/IP, Wireshark, IOS, Ports, Filesystems, Configuration Management, Remote Management, SSH, Switching, Network Devices, IP Addressing, Port Security, VLAN, Routing, Trunking, VTP, Routing, Routing Fundamentals, Static Routing, VLAN, DHCP, Protocols, RIPv2, IPv4, IPv6, Routing, Device Management, IOS, Backup, Restore, NTP, Recovery",
